Gen
BusNum,GenID,GenFuelType,GenUnitType,GenIOB,GenIOC,GenParFac
58614,1,Hydro,HY (Hydro),14.878810,0.020763,112.500000
58614,2,Hydro,HY (Hydro),14.878810,0.020763,130.000000
58614,3,Hydro,HY (Hydro),14.878810,0.020763,130.000000
58615,1,Wind,WT (Wind Turbine),0.000000,0.000000,108.000008
58616,1,Wind,WT (Wind Turbine),0.000000,0.000000,103.000000
58617,1,Wind,WT (Wind Turbine),0.000000,0.000000,100.699997
58618,1,Wind,WT (Wind Turbine),0.000000,0.000000,100.500000
58619,1,Wind,WT (Wind Turbine),0.000000,0.000000,98.900002
58620,1,Wind,WT (Wind Turbine),0.000000,0.000000,98.699997
58621,1,Wind,WT (Wind Turbine),0.000000,0.000000,98.699997
58622,1,Wind,WT (Wind Turbine),0.000000,0.000000,97.000000
58624,1,Wind,WT (Wind Turbine),0.000000,0.000000,75.000000
58625,1,Wind,WT (Wind Turbine),0.000000,0.000000,72.000000
58626,1,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,10,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,11,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,12,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,13,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,14,Hydro,HY (Hydro),14.878810,0.020763,80.500000
58626,2,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,3,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,4,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,5,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,6,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,7,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,8,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58626,9,Hydro,HY (Hydro),14.878810,0.020763,70.000000
58627,1,Natural Gas,CA (Combined Cycle Steam Part),9.546510,0.032500,176.399994
58627,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,68.300003
58627,3,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,68.300003
58627,4,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,68.300003
58627,5,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,68.300003
58627,6,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,68.300003
58627,7,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,68.300003
58628,1,Wood or Wood Waste,ST (Steam Turbine),34.327412,0.052694,16.250000
58628,2,Wood or Wood Waste,ST (Steam Turbine),34.327412,0.052694,16.250000
58628,3,Wood or Wood Waste,ST (Steam Turbine),34.327412,0.052694,16.250000
58628,4,Wood or Wood Waste,ST (Steam Turbine),34.327412,0.052694,16.250000
58628,5,Wood or Wood Waste,ST (Steam Turbine),34.608459,0.074212,40.000000
58629,1,Hydro,HY (Hydro),14.878810,0.062200,52.200001
58629,2,Hydro,HY (Hydro),14.878810,0.062200,52.200001
58631,1,Hydro,HY (Hydro),14.878810,0.062200,50.000000
58631,2,Hydro,HY (Hydro),14.878810,0.062200,50.000000
58632,1,Hydro,HY (Hydro),14.878810,0.062200,48.400002
58632,2,Hydro,HY (Hydro),14.878810,0.062200,50.299999
58634,1,Wood or Wood Waste,ST (Steam Turbine),34.522598,0.063708,42.799999
58635,1,Hydro,HY (Hydro),14.878810,0.062200,14.200000
58635,2,Hydro,HY (Hydro),14.878810,0.062200,14.200000
58635,3,Hydro,HY (Hydro),14.878810,0.062200,14.200000
58636,1,Wind,WT (Wind Turbine),0.000000,0.000000,41.000000
58636,2,Wind,WT (Wind Turbine),0.000000,0.000000,63.000000
58637,1,Wood or Wood Waste,ST (Steam Turbine),34.605289,0.073981,13.330000
58637,2,Wood or Wood Waste,ST (Steam Turbine),34.605289,0.073981,13.330000
58637,3,Wood or Wood Waste,ST (Steam Turbine),34.605289,0.073981,13.330000
58638,1,Hydro,HY (Hydro),14.878810,0.062200,40.000000
58638,2,Hydro,HY (Hydro),14.878810,0.062200,40.000000
58639,1,Hydro,HY (Hydro),14.878810,0.062200,40.000000
58639,2,Hydro,HY (Hydro),14.878810,0.062200,40.000000
58639,3,Hydro,HY (Hydro),14.878810,0.062200,40.000000
58640,1,Hydro,HY (Hydro),14.878810,0.062200,38.500000
58641,1,Wood or Wood Waste,ST (Steam Turbine),34.621799,0.080233,18.650000
58641,2,Wood or Wood Waste,ST (Steam Turbine),34.621799,0.080233,18.650000
58642,1,Hydro,HY (Hydro),14.878810,0.062200,6.100000
58642,2,Hydro,HY (Hydro),14.878810,0.062200,6.100000
58642,3,Hydro,HY (Hydro),14.878810,0.062200,6.100000
58642,4,Hydro,HY (Hydro),14.878810,0.062200,6.100000
58642,5,Hydro,HY (Hydro),14.878810,0.062200,6.100000
58642,6,Hydro,HY (Hydro),14.878810,0.062200,6.100000
58643,1,Wood or Wood Waste,ST (Steam Turbine),34.671768,0.083176,36.000000
58644,1,Hydro,HY (Hydro),14.878810,0.062200,32.400002
58644,2,Hydro,HY (Hydro),14.878810,0.062200,32.400002
58644,3,Hydro,HY (Hydro),14.878810,0.062200,45.000000
58645,1,Hydro,HY (Hydro),14.878810,0.062200,16.000000
58645,2,Hydro,HY (Hydro),14.878810,0.062200,16.000000
58646,1,Hydro,HY (Hydro),14.878810,0.062200,15.000000
58646,2,Hydro,HY (Hydro),14.878810,0.062200,15.000000
58647,1,Natural Gas,GT (Gas Turbine),13.537260,0.025932,29.400000
58647,2,Natural Gas,GT (Gas Turbine),13.537260,0.025932,29.400000
58647,3,Natural Gas,GT (Gas Turbine),13.537260,0.025932,29.400000
58647,4,Natural Gas,GT (Gas Turbine),13.537260,0.025932,29.400000
58648,1,Hydro,HY (Hydro),14.878810,0.062200,13.000000
58648,2,Hydro,HY (Hydro),14.878810,0.062200,13.000000
58649,1,Hydro,HY (Hydro),14.878810,0.062200,26.000000
58650,1,Hydro,HY (Hydro),14.878810,0.062200,25.500000
58650,2,Hydro,HY (Hydro),14.878810,0.062200,25.500000
58651,1,Wind,WT (Wind Turbine),0.000000,0.000000,25.000000
58652,1,Wind,WT (Wind Turbine),0.000000,0.000000,24.600000
58652,2,Wind,WT (Wind Turbine),0.000000,0.000000,25.200001
58653,1,Hydro,HY (Hydro),14.878810,0.062200,24.500000
58653,2,Hydro,HY (Hydro),14.878810,0.062200,24.500000
58654,1,Wind,WT (Wind Turbine),0.000000,0.000000,24.500000
58655,1,Hydro,HY (Hydro),14.878810,0.062200,23.700001
58656,1,Hydro,HY (Hydro),14.878810,0.062200,21.600000
58657,1,Wood or Wood Waste,ST (Steam Turbine),34.912910,0.132652,21.000000
58658,1,Hydro,HY (Hydro),14.878810,0.062200,10.000000
58658,2,Hydro,HY (Hydro),14.878810,0.062200,10.000000
58659,1,Hydro,PS (Hydro Pumped Storage),14.878810,0.062200,50.000000
58659,10,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,11,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,12,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,13,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,14,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,15,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,16,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,17,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,18,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,19,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,2,Hydro,PS (Hydro Pumped Storage),14.878810,0.062200,50.000000
58659,20,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,21,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,22,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,23,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,24,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,25,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,26,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,27,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,28,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,29,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,3,Hydro,PS (Hydro Pumped Storage),14.878810,0.062200,53.500000
58659,30,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,31,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,32,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,33,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,34,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,35,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,36,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,37,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,38,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,39,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,4,Hydro,PS (Hydro Pumped Storage),14.878810,0.062200,53.500000
58659,40,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,41,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,42,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,43,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,44,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,45,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,46,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,47,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,48,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,49,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,5,Hydro,PS (Hydro Pumped Storage),14.878810,0.062200,53.500000
58659,50,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,51,Hydro,HY (Hydro),14.878810,0.020763,125.000000
58659,52,Hydro,HY (Hydro),14.878810,0.004767,600.000000
58659,53,Hydro,HY (Hydro),14.878810,0.004767,600.000000
58659,54,Hydro,HY (Hydro),14.878810,0.004767,600.000000
58659,55,Hydro,HY (Hydro),14.878810,0.003044,805.000000
58659,56,Hydro,HY (Hydro),14.878810,0.003044,805.000000
58659,57,Hydro,HY (Hydro),14.878810,0.003044,805.000000
58659,6,Hydro,PS (Hydro Pumped Storage),14.878810,0.062200,53.500000
58659,7,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,8,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58659,9,Hydro,HY (Hydro),14.878810,0.000377,240.559998
58660,1,Nuclear,ST (Steam Turbine),0.000000,0.000000,0.000000
58661,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,60.500000
58661,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,60.500000
58661,3,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,60.500000
58661,4,Natural Gas,CT (Combined Cycle Combustion Turbine Part),14.878810,0.053263,60.500000
58661,5,Coal,ST (Steam Turbine),12.823050,0.001755,729.900024
58661,6,Coal,ST (Steam Turbine),12.823050,0.001755,729.900024
58661,7,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,80.000000
58664,1,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,230.000000
58664,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),18.771999,0.009320,234.000000
58664,3,Natural Gas,CT (Combined Cycle Combustion Turbine Part),18.771999,0.009320,234.000000
58665,1,Wind,WT (Wind Turbine),0.000000,0.000000,204.000000
58666,1,Wind,WT (Wind Turbine),0.000000,0.000000,199.000000
58667,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),18.771999,0.009320,192.000000
58667,2,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,126.300003
58668,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546510,0.032500,186.000000
58668,2,Natural Gas,CA (Combined Cycle Steam Part),18.771999,0.009320,133.000000
58670,1,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546510,0.032500,175.000000
58670,2,Natural Gas,CT (Combined Cycle Combustion Turbine Part),9.546510,0.032500,175.000000
58670,3,Natural Gas,CA (Combined Cycle Steam Part),11.398370,0.026456,300.000000
58672,1,Hydro,HY (Hydro),14.878810,0.020763,158.399994
58672,2,Hydro,HY (Hydro),14.878810,0.020763,158.399994
58672,3,Hydro,HY (Hydro),14.878810,0.020763,161.500000
58672,4,Hydro,HY (Hydro),14.878810,0.020763,161.500000
58672,5,Hydro,HY (Hydro),14.878810,0.009008,239.399994
58672,6,Hydro,HY (Hydro),14.878810,0.009008,239.399994
58673,1,Hydro,HY (Hydro),14.878810,0.020763,150.000000
58673,2,Hydro,HY (Hydro),14.878810,0.020763,150.000000
58675,1,Wind,WT (Wind Turbine),0.000000,0.000000,136.300003
58676,1,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58676,2,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58676,3,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58676,4,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58676,5,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58676,6,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58677,1,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58677,2,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58677,3,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58677,4,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58677,5,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58677,6,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58678,1,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58678,2,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58678,3,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58678,4,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58678,5,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58678,6,Hydro,HY (Hydro),14.878810,0.020763,135.000000
58679,1,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58679,10,Hydro,HY (Hydro),14.878810,0.020763,125.400002
58679,11,Hydro,HY (Hydro),14.878810,0.020763,125.400002
58679,2,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58679,3,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58679,4,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58679,5,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58679,6,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58679,7,Hydro,HY (Hydro),14.878810,0.020763,114.000000
58679,8,Hydro,HY (Hydro),14.878810,0.020763,125.400002
58679,9,Hydro,HY (Hydro),14.878810,0.020763,125.400002
58680,1,Hydro,HY (Hydro),14.878810,0.020763,112.500000
